"","y.NPV_mono","y.NPV_AF","y.NPV_decision","x.n_years","x.establishment_cost_mono","x.establishment_cost_AF","x.rubber_main_cost","x.var_rubber_main_cost","x.pepper_main_cost","x.var_pepper_main_cost","x.max_pepper_yield","x.var_pepper_yield","x.max_rubber_yield","x.var_rubber_yield","x.rubber_price","x.pepper_price","x.mono_nutrient","x.var_mono_nutrient","x.mono_nutrient_saved","x.AF_nutrient","x.var_AF_nutrient","x.AF_nutrient_saved","x.cost_water","x.var_cost_water","x.water_competition_probability","x.yield_if_competition","x.var_yield_if_competition","x.var_AF_water","x.mean_AF_water","x.competition_AF_water","x.knowledge_gap_probability","x.var_knowledge_gap_probability"
"162",176977702.838389,193147645.309147,16169942.4707586,25,629875.313281142,1023515.11966804,72817.7426837313,11.6315544442552,52847.1957019261,12.8994127475063,138.677365653655,12.651681072455,112.634461707348,13.0274574978327,144168.938206624,138896.42061728,111.840146577508,8.25367279683897,47654.7192452216,53.7197401103013,13.2221395331339,1192.55164317461,12866.084520597,10.2290298365916,0.180055968016211,0.391391838460907,0.153047586784304,19.4171820618061,1694.40135895788,1995.54313311484,0.321190704561719,0.0168733795516582
"163",46491955.4311118,87938843.948402,41446888.5172902,25,125511.444120249,436429.309058641,21349.415518252,3.3376027494306,144373.376096835,12.6802705982529,50.7304243429749,17.9504065802303,44.4942156093164,20.4417746007577,172510.45798101,160586.973070165,111.935619083459,10.6677155680228,11575.2262966231,126.419300452539,23.4214430080616,3877.81092034257,2393.38774721215,10.3431394573419,0.357795204103173,0.36804238974201,0.178763577934022,10.0069404392558,1620.58651219197,2629.56459076815,0.30844264296006,0.00950788916003049
"164",45477504.6739045,-354379678.482709,-399857183.156614,25,702531.917251632,1886457.78974241,18192.5100366939,12.9990485657694,122240.638784717,7.97496855881244,46.6148236833249,12.1318410125716,19.6090403175042,12.760079367906,153535.017937979,103788.555068549,54.6311128930463,9.99107347466124,46616.3400342931,24.8551905098267,13.6067759666167,23269.0790823416,15750.7242041304,10.196761686343,0.166285848593613,0.464179781150067,0.165669507258657,15.3136287450624,2441.30149765476,2606.90761625193,0.334691641982684,0.0155676750777161
"165",433877719.050656,335666001.540203,-98211717.5104539,25,424095.125787224,407397.787559957,77518.681503586,12.2206506339499,5303.67551168874,12.3331713213754,32.4592049200107,20.2380596693673,236.338762217754,18.6255174683934,201004.975681712,113877.812665068,132.658745226028,6.78649460017186,19098.9405450057,97.7534382462826,33.338651535387,20947.5168284113,28353.5841286972,14.3645096948131,0.189838931931029,0.442340881494066,0.11623893860626,1.2835529295384,1911.71705480581,1932.30509329233,0.249324614752183,0.0151771095977757
"166",291891278.620796,292124025.442082,232746.82128638,25,937357.629394727,411743.738232849,26743.0074969131,8.85282981672454,264629.202147254,4.9071367661786,87.202371693401,12.2011628732417,175.813293624033,16.2703031760181,164342.912506979,117359.802711974,102.155082252536,13.2267425297511,45873.1579340187,31.5334332533279,39.2072883469724,68309.1461253623,13268.9638340566,13.9632041296977,0.216939170595308,0.401453501711287,0.156028893734306,15.0470026968337,1946.9672240956,2710.35896903924,0.266558811847508,0.0104862126114477
"167",222124210.015944,317061153.884716,94936943.8687719,25,346937.798538637,297651.091564498,67626.7780366002,7.64325876844523,153511.870792184,10.8825082001693,81.300712506401,12.0282142994477,143.76091457462,16.1897130874702,167599.552870551,103525.073692726,62.613431018938,7.40383194541835,44830.7639367372,82.3888381127113,19.8229129061766,21699.6947675913,10703.2490289726,19.8704031579881,0.222790004043056,0.226754885902538,0.176870107280888,21.0678341991392,1688.37512817812,1570.42709019215,0.297361152754394,0.0164458681653959
"168",355688133.587166,697519742.257295,341831608.670129,25,1032636.83209519,699491.02876587,65527.4725779553,10.9481551830736,23376.0810515899,9.46193609922696,103.877827912516,18.0307239252275,257.750855201228,19.6635310477965,171905.639937577,96465.4710931667,86.7417836361288,10.7126954759711,22347.0349406055,204.326605734135,34.8132725897464,25588.5914904876,5223.9864852438,10.2997198015676,0.235697544570858,0.521496428304701,0.195525063207249,20.6841111460898,1967.27197769965,2750.23101088437,0.339621983349107,0.0091698879976899
"169",840022753.214134,1248599529.49286,408576776.278725,25,345073.917250927,114567.702257993,49235.5125251081,7.98629111560455,3955.92744226433,9.91646089550739,1.63667115331612,18.6678718823241,487.967157129689,18.3059250597896,202400.684479698,103032.709808204,140.727529817835,4.32556430713825,29750.6077359662,90.5646318016771,7.91306868748677,4183.1843598641,19177.9801371656,16.4898093522071,0.202006199079153,0.313938973962669,0.165731683701038,11.8109908325318,1609.51652337819,2099.3304038722,0.254397223170153,0.0134693927288857
"170",728959326.763989,1342307038.25565,613347711.491664,25,829422.687034327,665067.744301868,29745.8303642869,10.8666961293854,46306.3574977205,10.7558493520503,129.336079026633,14.5156401791737,520.811983511019,14.7945359393815,174087.454612602,123122.56843493,71.8278562736822,8.09554461922534,28777.7037904908,104.524272976032,15.6767840431436,58832.9136339836,18210.1532254224,14.2889337486045,0.147637647336471,0.459309613580819,0.146194420977258,19.4487303415804,947.92183618335,1604.39069130024,0.269012298918962,0.0187261003698399
"171",67755890.3905057,-249637021.029391,-317392911.419897,25,446875.712704099,878086.937171103,61230.7143025896,14.4975387741181,124070.973289396,9.82443307742078,17.9586054974873,23.4990803886433,14.0409168549307,18.1287744601617,185643.146836556,98633.911152236,120.011664920188,2.71248530788249,42656.3673268761,129.109267596813,11.6560293338232,33666.1946382234,18642.5398221867,10.1047722562274,0.15237798957944,0.431631114562962,0.153198321031339,15.8215183942256,1404.05813411507,2109.38306727555,0.255137374974213,0.0148294512989814
